启动之后传佳音,加,恢姐倍牷艽椰酋恼愆加
八点九点十点,染,态孽爱獐捕干湃舟谦染
嘴上长着四撮胡须,谷,筠惨浪今奉证轻少瑟谷
站在树梢上,亲,犑燊皂垭盏己早月免亲
老两口一见就喜爱,嗜,讹挥挽蜡霞题帚粑昫嗜
抢先别落后,拐,串蒋床窈痱湃弱畦宏拐
马尾羊头自相连,首,哥篑卫术噎螅脉矧沮首
登上天门闻雀声,阕,婿浔皋乒瓜就孩往现阕
人一高兴就先笑,签,特涟豉妹舌妒整恬他签
好像不对头 就是不对头,米,吩础宾倭襄壁木泌枸米
只对一半,叹,孝酝燕苜脵收孽唔柬叹
断一半 接一半连起来 还是断,折,贷华蛔封泣淑拳视挽折
朽木没用 上头有洞 稍一加工 又变成洞,窍,淄石稿果淮很奄咕冣窍
一天到晚,免,斛劾犇喊霖姨扶捌操免
一对枕头,林,捌说翼旧督帽揩喉锈林
有一天会明白,尧,相攫黛夭拂凼肝扫呗尧
不置可否,口,牧共桥写盛峰括虫肌口
土生土长西安女,娃,赠翌飘凸糯穹升戊动娃
陕西省 西安人,侠,吋漓钞邓唱箕抱细谨侠
看似闭着嘴 其实乐开怀,哈,俩哀能仂财同战绮洋哈
去年已入此门中,闯,眸仕盗槊妻已又辨手闯
火见它就灭 请别把水猜,一,乏雾土買宁圭沧睛也一
别夸大,亏,鸥喉炰妇嗟眛优居然亏
先写上半截 后写下半截,告,乾错缕孝洪斐崔砌碛告
刘备有 张飞有 曹操有 人人都要有,德,纽纥仆欢既戚时齐肉德
看看像母 叫叫像父 越看越像母 越叫越像父 其实不,毋,阔甡告仓觅渠喉誩怵毋
上下一条心,卡,囫量夷俯委宽黜询淡卡
落汤鸡,酒,邀赎离葑圉韩雁婀辑酒
小羊小羊尾巴长 偏偏骑在牛身上,羞,货铧氦岗什涨魏羯娘羞
一个字 两个手 浑身是口 歌不离口,曲,來疲史恍膨仙播冷阉曲
元宵十五日,月,绮阀弥豁庵猪蜗广铺月
来日芬芳,禾,竞选塔罡聘蹄咯怵切禾
真心不二到白头,百,枫性菊蚤倦仂喋刑惺百
闹市散罢天放晴,间,咒渥育拜菇踏闺讨鸳间
东邻吹竹笛,邮,咯眩佩潘祚仔脑肴童邮
学上边会下边 若不信试试看,尝,松司绮习剡愿塌欣笙尝
有个字真特别 谁看都是一万撇,厉,丐膨娱妍薨靳尤污财厉
和尚身上一条巾,常,腿汲坟忤脉含岁桂陈常
又要随船走远方,般,嗜睬霉黟侦倔敖屑檗般
三日当中 只有一日有空,唱,棕谈渐讽旖妃为疾臼唱
多一撇 难寻找,去,鞭烫劣谷聶省到夜亿去
背后左右点火,脊,屑骤侃糜罐栋工倍焦脊
除非减一 才能得零,韭,抒帛造棋继柳溃郝尖韭
无火不生烟,因,翕擞菼到素收月番润因
不许喧哗,躁,职郡雄写蘑亦椅刑欢躁
乡下改革有后劲,幼,烦霎藩用化铧道陆掘幼
两手一抱行大礼,拜,戏番竿爹踪诈院醉哧拜
一直不用靠旁边,膀,逍漩挝垮股砍移革翌膀
横竖在工作中,正,粥圪琬偷汉咪虫鲁啥正
半途而废不足取,叙,碑佃耋殊靶攸很酉垡叙
出丑之后便知羞,羊,讦铁收望孝细判从药羊
一颗闲心 两个耳朵,椰,龟楠夥薤板梳终菠邗椰
家和就要不多口,稼,挛悟蠱地鹊程脖疲戬稼
岱山归去日西沉,黛,涌舟光杭边夸借钻离黛
上头又完成,寇,沼元氢药臻脀承东迢寇
双方因犬生悲剧,哭,梵筞匹蚀酚按坝阆地哭
个个都要管,官,艘妩炮奏沃沈汊老聪官
共守球门,典,么苫车甍薯槽梭弦讼典
共赏残月又几回,殿,溧昵贡波复识琴消氽殿
会散人去,云,坤钙僮合骄富淄拥扎云
一尺只有八寸长,咫,绡溃凬撑威剂缩敫陌咫
差一点猜中,虫,甥腌挛抄澍妈快镂脸虫
工厂联合面貌新,硂,棼巨扶匡囩为佗旬值硂
数数仅三笔 算算有万万,亿,扅孬绩墟甮珅槿为招亿
出口成衣,哀,荐可肃责逍弦迟谁船哀
古城改造要搬迁,吧,肘讲吓奏啜瑰姣斗酥吧
悲声不在楼头放,杯,悻咐令厘仲梧曲纭反杯
一十二点不是斗 猜平也是不对头,半,哨妈朊溧拂鲈菼节芸半
一来就成王,城,胐冤新哧镍肰渗眭侧城
虚心求是,匙,咆吹干懒鳞叙粒繁们匙
冷雨飘零中,冲,趟枝忌炜吏辞缰芭挽冲
春游两天,大,孬儿呕嚻曰萝螃提忆大
山山倒影一川横,带,青觉郴众型鸡仔葑沐带
时差一天,寸,程卓舛彭艰亩邵巧场寸
寂寂空门白头人,待,颖北匝乞稀通皫陌拟待
分开是土 合起来也是土,堤,啦票丈唁付碧恚九盖堤
两口儿相会在黄昏,酉,羌访夭零硬衔验婿床酉
昨夜船儿浪里行,怎,藻羔珍璧蟆乖泄隆辉怎
夜泊未遇李青莲,液,婴术吠架激谓刌慧爆液
短处一点一点克服掉,知,竟尘嫣登赻扎诗顶浸知
两人闯入七星阵,淡,萃父菹惹祟守酱珠孽淡
小桥会兄,党,囼兆钎字噩素囚辐扮党
孤帆一片日边来,吊,株酿曹团桦佧韵闷诛吊
木在口中栽 非杏亦非呆 当做困字看 不算猜出来,束,踯磊圭模戾槿利钩肉束
拿生命打赌,毙,浊擞丝浜秕醢倮诊夜毙
无心留恋也如意,亦,脑糯豪埋若绦樱贫酿亦
二十一日有金钱,错,寸故坝硂早瓣零奄袅错
字字去了盖 莫当子字猜,一,亩缄胄韵摊潺酷诀卷一
择吉日命女结婚,纸,战玛疝跑蛋亟萍食燕纸
有人来存款,诸,欢猪迷炭告杞戾昶烛诸
葡萄园里摘葡萄,元,许厅鲁镝倍鳞魏儿倚元
欲动而力不足,云,噙估等崛儒窖氧解手云
来点刁 还要更刁点,羽,橱車自势姓懈郁喂税羽
两个配合投篮 篮下紧盯防守,监,刈篑梦果烬碑满招读监
从前点滴要记住,箭,圆拓厚贵醐九孔闯雉箭
亭台上下共明月,膏,厅根送妆皫饲揭百妮膏
功力不足,工,滴理咯司求闵井吠姨工
夺头功又是半边天,努,善性霎忧闾芫逑抽想努
打乱章法,培,孴揩茹俭娆舰床忝等培
多一点能下锅 少一点能烧火,术,摸毓驰塾俱桝昕休林术
赵后虽可爱 君迷必有害,钱,箭氶谁划叠正栈菊孴钱
西线有战事,绒,盔斥漆持层疚涸旗秩绒
一来就收徒弟,帅,硬肩扁蜀厚螟咳寄骏帅
漂亮话引人上当,诱,守睦滴惕磊玲卅执启诱
浊浪排空隐山峰,蜂,嗔投嘈者霎巧除憩与蜂
劳力不足 双方支援,营,雾哟觑签鸿状招痕迢营
搬走石头 给人方便,硬,从嗟胥卞灯酚壬逼享硬
生来好胜,月,秕槽拍咄舟版务亚嘉月
进门不要说话,阅,邗蚜躺驭因妙霓程槽阅
人一高兴留个影,签,酗香麦赎坦拳专妄腔签
连日晚点,兔,喳肝獐佚绘捍渗川混兔
一脚迈进水草中,踏,歪塍棼荨芜麦法进中踏
秋后分别 岁末重逢,移,弥军曹趿熄零纷旷筚移
七十乘以六,较,邪垛恢灾鳗昔这迢粉较
花草凋日三春去,伦,愤霎掠汪佻矧晓玺慑伦
一旦有心永不变,恒,竞起罡惚割谣辛哦仇恒
岁岁花前草初生,茁,艮琵全弄请孵牧冞宰茁
若一不在 立即变坏,坯,雁蓬瞄翩尘革日盒愚坯
一到山西就下雨,湿,艳沗戒曹挠量俪胄瞐湿
游子方离母牵挂,海,驭猎玑肌啮搬刻诊潇海
少夫人去堂后,坛,竟啼男舞呢材什媳锯坛
人要虚心一点,龙,砂皇旬荔谷零肴吐曱龙
一大一小把手牵,捺,杞谷花眯亲孵疑荟逍捺
案中发现另一案,始,吼涸卿筋枉措浕全沏始
异乡爱上一姑娘,绥,囫佻缌盆垛陪辐迥窜绥
宝玉不见刀刺心,宓,义贝蠢酷圯仂料略赦宓
情人相会特开心,倩,柳钼寿她苬铸缓叮羞倩
全省人口向西移,程,泵惕糟列奈豆污奥捐程
改革旧貌得第一,甲,荕粪诱呓桩摄鹏沪井甲
红粉不知愁,嬉,氏啭晏踢秕蚯卯油长嬉
如去一口 仍少一人,奶,壤耽般璧扈蜻声炜纪奶
小桥流水出凡尘,沉,瞇伍昂狗呵尖觥稽购沉
视而不见就坐下,社,籁根卓俅怦愈腐效靳社
酒后公文看走样,酸,牯虻显织未友雾缀如酸
白加黑,七,暗射型缄守妥羊泪捅七
柳畔花前人相会,茶,等啜陈畛倮杼捏腥格茶
七星对残月,溺,沏油枢脖惶淹笳扒近溺
改变困境人为先,保,室莓灭课愁筚始丛瞎保
言多必失,吴,嗫妞渠床蚴鄙振讳苜吴
闲来出门垂钓钩,札,乐纪弹晶道省诃纭白札
残席撤下又摆上,度,冬掌剑种忽敖赔俯依度
人人奉献一点热,伏,圣软革忌惹配来于渺伏
一弯明月落江边,漕,蜗骑焚夯此娘鸣荔澧漕
成功来自凝聚力,工,昵赎姗冥恩仑投贿荫工
倾心携手定有日,指,尒厌戽叫皎广蕾壕控指
岁末年尾增友爱,舜,叩最唉点呆晃聿嵘移舜
山影连绵碧空上,础,理诏茒鳗荃盆币兀寓础
湖中倒影月相随,朝,撂荰彗蛸妇眹丸夺衬朝
溪边横山带影连,汪,泮呗嘶郓维粘寒庄萝汪
街头积土十分厚,待,醋莘枫操油珠狞伸诊待
职务调动才放心,聪,塍档糜今头裤搞装琪聪
交错而行,六,汕旱鲡横倘泊歉颊犑六
就这一个字写不好,孬,左囍狎审酵己蔑璟危孬
聚散之后又相逢,聂,蓄鸣跛荣痒促米美散聂
一夜走红不寻常,殊,炎佟伶肋翡衿边鳞滂殊
山水之中半展帆,刷,秃污茶埋豫橡茀孕累刷
三口巧安排 莫当品字猜,亘,替福盆危回鳃乳嘲皓亘
工厂开工要招人,仄,九罢妻叹亵受低鸢盏仄
春夜上香听琴声,秦,黠酷膜直血薑杠董平秦
苦心随日长,早,匪茢畦蟆欠孴筷素工早
他有你有全都有,人,构吧倍债唠瀑严团编人
天下无人出其上,击,俗橡垂旨盔屉无铡亥击
宁波附中,俑,咱解伪衙毙胤珐屎卒俑
毕业之后又相逢,圣,蒙危圉檄钨芭泾带哔圣
百变之后还是我,自,惫仂柜惠枢蚤肙购芷自
人口翻一番,徊,患磨肉雾胞岸冒宋六徊
哥哥一变就惊人,噩,抗炊荐却征俘坔光擞噩
负负得正 一一相加,王,龆殓捌召滑祝台犑甸王
衣裳破了有人补,倘,碎粗芯舱牮爬泊曰倥倘
字猜对一半,狩,七颍迥芔牷肋划牡都狩
三三两两能言语,计,郝哇毯节官挼榴独圭计
春末夏初来集中,旦,棵哉秆孩怡载逑拽漪旦
欲去西边又见喜,欢,魄逍乍吗色饲绷帚垓欢
真心不二人可靠,奇,檀汀钓签识懿际痴赤奇
二人约会在西堤,去,朵心凼筏腐悦邾哀窯去
倾心相逢明月下,昆,婢屉蜡口少蚪以乱孴昆
入夜梦见黛玉来,林,供瘦贿泮稼孤枋奢线林
冥冥之中天意在,晶,筛阔霍仅燊藩疾伍吐晶
晚节不保 后患多多,蕊,刊儫薑黯责抒怜归升蕊
两人一走 接连出错,网,凄后维棉孜霄马万德网
北宋虽亡南宋在,林,啥涉冥衍兀垛接块鼯林
突破包围圈 自有人接应,伟,碟松洳惩距九害逼卸伟
两口添丁乐滋滋,呵,糜昉牵荀室为竟也白呵
万万不见人 只知第二名,乙,足评虹活跎箱汊长角乙
老人七十不见老,华,樵玓㕣実滚棂永搁蒙华
汉奸改装尽奴相,汗,斛茓冒仿垫阉辨众梅汗
一直戒掉了,戎,位遭齐泣腌苿悠昙尒戎
下岗后 人消瘦,仙,砷受粉迥稿想驳潕赭仙
半是浓妆半淡妆,汝,兆搜邪翠阍汕垓杠蓉汝
修旧如旧,古,粘螽富猛钨寇兼倭煌古
携手来听读书声,予,趇浊柠短疽奢汇昫勾予
翻开日记已黄昏,醋,番眸驾圯奉隐谟桦婚醋
塞上日出云半遮,宣,嫉沗赎恪可烤区夙名宣
二者勾心又搞鬼,魂,蔑胇格朵裘澍毒铁际魂
古稀之年变化多,轮,孜躁嫂绉侩禽障泽肩轮
仁义二字抛一旁,仪,好慎丈菲咪诬忆鳞眹仪
有人告诉就懂得,会,爱陆简杈轴铝敦苿忙会
有口才连升两级,团,拖羔懒晨癌构岁琴嵩团
这边唱来那边和,口,捎我梭虮脆牲驭递刖口
本来旧貌换新颜,桓,伊喂欠塔杏斐威烤厝桓
七上八下是幻觉,练,估啁皆韧岚按椽是甲练
分赃一半仍是穷,贫,滥卆乖泉醐噩胄符棣贫
夫人有了二手车,撵,沙胜转滴硬跳凬虻魏撵
见水污浊把手摇,军,赶孺荥攫歉桂蓬踯吻军
闻声知是孟尝君,文,悬琵剑袭帅哪订跻裂文
井边无力朝前走,进,阐寓休驳壮悸君动妆进
五一请个假,奉,绢缩枝圆共衣辜隙蒜奉
湖光水月西施女,姑,兼巨鲂俊沙仿拍他曹姑
变化大了,队,订帜叙启蛸摊彗元慎队
移花接木后 古代女英雄,兰,谈寿啊嘉把痱湘荨很兰
不见他人传野闻,也,琪犇峰警裹刽敏肙精也
到了三十放一月,葫,炬踪浸彻垄达吗古随葫
百度一下就明了,白,乾杳沸娣忏旨麦茜佗白
派头有点大,汰,簧璃瀑瞐煮炙芨啦莱汰
人人结交用真心,俸,母抄酒惜印炎洞跨朴俸
城头一同赏日出 传来犬叫声,旺,还搞墙汉去庐苔殊钬旺
马上动土不好看,丑,奸黍忠毛枚场专攫几丑
生子当如仲谋也,小,珂导霖棕种唯找迕歼小
正数三个二 倒数两个三,奉,言船小侬檀鲨嗤惚冢奉
大哥可否派人来,倚,萝族呓暇钿挝趣于钱倚
大人走了声音依在,一,责臻公目话欲徭革洽一
钱少毕竟还是钱,钞,区温眠臆晨壤赵瞿卓钞
爱美之心多点点,宝,米姣骟荧墙显焚痒锈宝
加加减减得十八,桂,拽市货贾沃苯距筋读桂
一一补足就对了,是,羯蚪梗瓜憩态囲牧诤是
五线谱上写个字,奉,和秋也脌槑黛神址偷奉
转业一日就升级,晋,近姘汰魅瓣布舒莘写晋
一一出园会双双,四,寅校呜黜归楂志秒戌四
比二多一半,死,啻薇痱吝蒜救刮挡域死
豹子头夜入南柯,梦,碧顺上荆调啜玷晿医梦
看上去不多,省,还璃情捉菊玻榔扫靖省
须前取景拍照片,影,唁玑擂荰三菼支惺怀影
七七鹊桥接两岸,互,丕偶摆浇迟俯输罂鸳互
酒水喝完客散去,一,稍鸳啭板沛泄浸很锱一
长刀破日还,归,弄悲珉桝昕裙争讼丑归
退休之后留下来,佃,元裕衅吸痒巷般卉袭佃
别后一隔四十载,荆,误吟缠贯掌掩克丰鸢荆
说不清楚教人猜,谜,狲恰酣腔帜俊疴争爻谜
一直真心相交,王,墨陕轮诗氧毓缩辩急王
五点一直到开封,汴,抄琳肯漳莓翁栾雁盲汴
失散的孩子无人认,该,播唤拟嚣灾痕撵笳督该
古物勿要丢,牯,倪箱吊衔渑拉婕呀四牯
男献爱心女献芳心,亭,邦哟兰材噎迟渔督玉亭
左右开弓不对头,粥,谧厅关泵芮彧跛格总粥
一笔写就成千言,信,扭厦闺挫瑛润嫉毡玓信
来日会宴,安,守篮纥鸢察铧岆马测安
加入内框外框破,画,俚刮选撞叶铺椿辽漯画
出门便闻犬吠声,润,渔蜀男撑俊状卞尿柔润
四时山中闻清音,卿,内亿喵竟灿荥懋爹盏卿
一大一小不松手,捺,免缓沔荘皛方钗檗呈捺
以军提前撤军,拟,啻曲沌猎洼橹视砌烨拟
动机不纯,杂,熹示品苞散茴扦也虚杂
贪钱被砍头 模样像个贼,贱,跛糖漓抒烛愆眸芹豉贱
海上卷来浪拍门,沪,瘦橹右眭佚肃匀季宴沪
江边集合,洽,迹邓管坂轴技归腔鹅洽
西湖半醉黄昏雨,酒,莱草勤闱挽郊飨支玻酒
四方称王名声恶,噩,守敌错岗懂河析袅滴噩
贪色足以上绝路,络,醄凝徉典夵正舰殖卿络
人残心不残,必,军宛囱杯泳种蓝丛茴必
早上一别心长悬,悼,田浇搏册鲳姓诲争窍悼
短处一点一点摆出来,知,桁赦塌墓孚繁谛课钬知
一下变成两粒丹,丽,垓七烟望钻年沼医儆丽
一见是老鼠,了,兹肛条惚梁吠填杜牯了
冥冥之中有天意,日,驭楮捌物蚪倘舸坐埔日
见虫称知了,单,禀蛸门水构闯遥巽掮单
说话十分体贴,谢,带恬竿三误容望饲芨谢
晴雯错把芳心许,文,牛翼胀碎泌襄吹泗冰文
三点演出扮伯虎,寅,竹绮皛浕彼涓媚殿渴寅
种菜除草,采,邀蜃拄揍逻携菹属坛采
啤酒厂出酒,碑,圪审站蝈台秩庵枝憩碑
小心一点又没错,对,簸仁唱项智衣有已冷对
三人相遇逢秋雨,秦,舢倮次夫涢趣磐逑尝秦
三只狡兔,究,脑榔光似庖掱操辉斗究
形状有点变 音同字不同,彤,炮澧苆韦岔皈雇销过彤
双方见面就是哭,犬,茹墟褒椰孚渔倦淀朽犬
养在深闺人未识,姓,酸略敏诸喂莠郓纸常姓
春日人去犹怀旧,旺,鼯垮勉侧蚯绸隋轾憨旺
不到三分之二,丕,练俸帕煮电天既鱼木丕
样子难看 扭头就走,丑,咪湿辖之刀梢实各轨丑
歌后后台说大话,吹,溪莫芳老扅静听伙戚吹
不负前言,证,甭渥冞做盘椰橹职渡证
大江东去又一春,潜,芫诏嘴正绸碧琼侮潸潜
一来就干跑买卖,十,龙铁伙拉戈销浦尺唠十
其言有诈 怎敢放心,乍,驯且准盯滋格络颇培乍
山西一省显新貌,哑,俶霁魏杜组芦蝇伍臻哑
无话不谈,炎,朽朴堡仁钊登又沪雪炎
无人作伴更宁静,平,嫔沾升钟嗯崭仪聋姓平
月下湖边有鸟鸣,涓,传刘尤特苞忌晔芩洲涓
全凭点滴集资财,金,受蕾强简恒皇姜知瞄金
此文已变 更新一下,改,污巩戚园鉴影蚜肥胇改
有了白 反而黑,七,那醒母魁灯崛言碜吧七
患得患失忠心变,忡,獐邮啤徘趣斯电恫享忡
东西南北皆逢春,楞,表活八忘美匡怷菹姻楞
盛名之下大改观,盒,炽娟杂蓝船哭暑茗侨盒
言而无信一定失败,乖,婿逑蚴粘迟举岁卷冷乖
叶动心不动,思,杀愁中夙粥痕沗楂承思
两人乱跑丢了一,肉,鳅泽苛灯军脊归憋侍肉
拆开重组整十两,柄,毗再式澎诣拥要北终柄
力争二人巧变化,伤,缌仿运昇兆昌噩努笈伤
元首见首相,末,死评闭冒粀疚囩莠瞅末
没有心情见旁人,倩,痛纺盏邗谁望林竺区倩
茶在壶中无人赏光,荣,桦娱述西疑世霎闲轾荣
堆土为坟,文,夯廿监瑾思辕倭鹭长文
早作变更好,吉,动仃新怛扈震锣落畛吉
岁末重逢人变样,侈,界皋耆软彼昊胎狞玛侈
梦中不见葬花人,夕,谓爸鲜疽螅宗肒绚忽夕
一提升就摆平,半,这向叶租懿捧层雾淄半
默许,午,沾衙淀船矛倪陸谓鲈午
雾中点点透残红,终,來皑竹娥彧绪哉腌苫终
人在异乡结同心,给,肉弛抒栋房郓件评脚给
或轻于鸿毛 或重于泰山,毙,褚姣吐燕之氶兮暮堆毙
残月破云照西湖,泓,奈腮胰见莒甬晗恶些泓
句中没有顿号,勺,坝毳青枭贾寸昼鞋贺勺
不是反话,证,汰沊奋啜坟澧葬勿驰证
六根清静无用心,丹,脸污奋崇闱憨抛靓旬丹
没有夸大损失,亏,殖瞿拗阆秚填步荰猎亏
少找点借口,拽,骇突织纸党灯蚌黑岖拽
闯王纵马到江边,润,都谦企矗剁霈泾尚呸润
员工一走才知珍,贵,耶旖皋源虻木巩婆黛贵
到菜园可见张青,子,粕脆异睬针泛铯伞略子
先生一见真英俊,帅,鹅蜡烤男撞图皫育他帅
种花要除草 一人来一刀,花,铎福新鸪为莅百丫股花
小心一点无火灾,守,饨腌皈盯绔舍垦值畨守
一口干真的干,旱,粱革爹良俑岭人砌捌旱
一直去 送出关,运,咆螅呕阆增桐轲净壁运
雄纠纠 气昂昂 藏獒怀中抱女郎,威,滞悬轭烬悼术栈漳薑威
解剖木乃伊,剧,咬隆娇员琵或哔苜访剧
一人四十多一点儿,莽,他壁皱材已街榭颖规莽
许配千金得半子,胥,安柔昇圆白层卵最弯胥
千古一绝,估,够妃奁仔獐自矛册婆估
十载又十载 同心上前来,鼓,寻鞭喜任芦其悲状疾鼓
六十一载皆艰苦,辛,吉瑰舒烂榻慝沾煌舢辛
代购前要借笔款,货,澡懂劾钡圆新闪编昊货
弟子刚先走,倒,铂蚜狎笼化恨忖馍观倒
只见秋千人不见,炽,吝刷愕啁擒儿醋鼩名炽
闻乡音 泪洒村前,湘,轭气荟懿嵩绡运憔酚湘
阶前残花朝前落,荫,盼饨挝按罡嬉胰语珏荫
二人睁两眼,夹,肋邮珍脵罗去寇冗目夹
一点一点凝结成,疑,楣准囲讣彪锣爪杵黟疑
人生没有单行道,件,护韦锉梯沏峨相年膏件
东西放好买一束,嫩,楼夾恙空蠱详躬农兵嫩
见了馒头就叫馍,莫,佼旮缁茹噪扁蕾恐沸莫
厂内养狗讨人嫌,厌,偌待松酵鲥亘韧踯琬厌
左看二十日 右看三十天,朝,京沪太脊透虚柔帽忖朝
千日改革成功,但,卯喋拈荫显狲耻厦虹但
两万里,董,毛币诡捅瑟罢直闪蜃董
原天下有情人都成眷属,答,衰夕珉织杢资韵寿严答
进言献计为改革,协,肖佩佗脉杢玛邓葫生协
多一人有肉吃,内,狳训泪付町获俗車猛内
又有耳朵又有嘴 就是说话不干脆,嗫,焦褒谟鸣因即啐钞千嗫
夜幕降临到贵州,今,什丝冀裸样喳寅须湘今
失利之后先隐蔽,稳,止嗯撂除耿嗟笃简渗稳
除去撇就没了,丢,翅嗔练倩烬办嫩囼碟丢
出名后十分小心,列,壬韧哑倔角菼薇羌穴列
今为山水伴,涔,田迟呀実钓韶茴历雪涔
大婶不安一人走,申,附囧胇婕类罐偕氏博申
一点一点学,字,吓葛倒痱昔盼坟泛鳞字
口角在此发生,嘴,茵果赫枢叶桧礼沪盖嘴
相差一半 少来抬杠,着,橹阍需镇鹊狮荧热柴着
旧貌换新颜,旦,扒乙梵迪厉哄童排柘旦
女儿要走,西,腔骡汀谒冤受触箩潘西
笙箫四重奏,欲,祟荐仑呕辆随驾氽眹欲
小子猜得出色,狲,绩倮脌暂谭似非往洪狲
围住广寒宫,胞,彰蓦仓仄馨坑汗荀戈胞
三十日内完成手稿,草,君神橇臼墅用姗股分草
指头轻微触电,摩,艋墙洼盆强透粕夫瘸摩
保证不说话,跑,糟团岭退出研佶洳歼跑
红颜薄命,妖,拍矽辱殿芜夥箱茗穴妖
此乃人算不如天算也,些,迹请耿坦扶恨澍薇炅些
人到几时有钞票,佩,河畦栎符良力昼裙振佩
四十口登日走,遭,闹龆找企醐攸对胞荷遭
损失不小,夸,倍著蒡拥钨柚尺医绑夸
一次参赌人被抓,资,从醐泣烘具齐馬警啻资
握别,扮,帜株喉春扒嵊鹃氢第扮
左边不出头 右边歪歪头,杯,粗群奖伦慨樵尧秃公杯
添上一口就是我,五,诉煌印垂路孚沧鑫酆五
调整火力做假像,伪,达贱娠囱火翻白一乏伪
慷慨解囊,锄,主鸿缰益栈神赶伊俩锄
柴米油盐都不是,罪,早朋夂愆谭瞎妹俘汾罪
冷坑尽是土,坑,肝孺柿梢愁汝卵板键坑
好像读四声,似,观才掠彻犄衿驷年饼似
凑满一百万,跳,差邀滦骗鸭柠樊币烨跳
先乘后加 最后得八,杀,槽绝唤蒡贾胞茢八叠杀
力字加两点 不作办字猜 若是猜为字 还未猜出来,协,逼冣障诈蛞侨仗袅文协
引进人才成大业,亚,农腰速俪苦静括脇斐亚
昔日一别今相聚,芩,垮江桧根韧裂焚陌纭芩
生有一女是昭君,墙,唠捞踮订月怕曰姥柠墙
抽刀必割,害,江佳夵圄俘酿治椰住害
一点爱心献父兄,宿,娩韵忮元坚戚冗撂划宿
有心入门难透气,闷,蓄惹玩廖鼹尽渥俎氧闷
还不去拿一元来,远,桩卜浴骟笌怙隶鸬忖远
石变色,白,佬取脌株蔑皎瞿笙或白
差一点祸从口出,衲,洲势衷忤珠怀瀑句瞎衲
非常六加一,辛,肰侦公仙其宿最卖赏辛
妇女节有雨,雪,睦浪岸扅昇床二减规雪
一字入句十日思,旬,式胥皇蛋娥枸犄含锐旬
浦东十分需要人,傅,椽示邡畄岭夕掠璟稼傅
与水交融如胶漆,膝,患赔仕图土她耷诵产膝
一一到此下面,些,敏芜惺骟驭奖蛛箦坑些
转眼即黄昏,罗,吋圈慕根袱洵康妮横罗
百里不见一架梯子,面,羊穗需毒滥暂个犄婪面
黎明即起,章,烫椽泵怜伙巡估筚使章
泰山,仗,荤惨挠郝攀巨谓螽棚仗
雾中唯见桥头露,条,颇昼皫妥占仅咆站粪条
一点一滴总如意,竟,悄狲粒均赴瓣亏需搜竟
附耳上来,付,卷种考椎恢饮夂畛噎付
盲目行动心变态,忙,乔淮肮刑鸨素萃脚提忙
南望杏枝又落叶,琳,诸职郓磨琥堪挟味篱琳
好好学 里面都有,子,笞匀戏渠荟畨靓诡扫子
早有茅头,草,悉琦姗秩菖湄披俊攀草
来日设宴,安,远琚佐海柯阿褒菹股安
年已古稀,车,敖臻蕴成鸪龙渣待奉车
三点到云南,真,苫酊本叔筒钨茄罐需真
把手放下,巴,沈分靶澧鳅夯训夫骥巴
一旦变心成永远,恒,滋覃赔鳍脚蚴些至洞恒
内人整容 倾倒上海,贯,睦浑中滦探慑生醢类贯
连日有雨难出摊,擂,竟盖忏档输悟圉尧洇擂
一百减一不等于九十九,白,户沙澳迷熄肤销盔彦白
仙人无踪影,山,峁岁拼堪值拽驴璧吝山
您既不安心 干脆不留人,尔,伊扳沿肮斗叮献狞孬尔
莫让杜兴做鬼脸,儿,斗浴税梧恳调窥神姿儿
里面是大的 外面是方的,因,汽翕琥任野晋茭歉叶因
千古结缘一条心,恬,聿拽誩渡恁钎赴挡俏恬
假骨文,故,筞汽簸車浔泱庚哗厦故
赞美乡下变了样,绔,孵仵敦琅络而剩冗绡绔
少女节食人消瘦,娘,呢奢滥倮呸器妃俚眛娘
飞砂走石,少,荧門社高宫助通赭罩少
先写上 后写下,告,凶源娑落萝晴剥冬战告
点点滴滴成百万,儿,闵隆戚讨恢渔死悄嚻儿
小桥流水风中没,沉,槎洇菬氯徊粀翌吾争沉
江帆半隐留个影,筑,市汗诀垒烬酝忌仇端筑
四点二十分,注,莎奻贝忙对切扅炽迟注
人人主动援西部,醉,纹职需馋色卯蚜閒凼醉
开山造田有所图,画,蓟荐糗液闷性么鳃招画
做人要宽心虚心,花,垓柯栋湫洲皇吱敌荀花
一个人 两个人 三个人,众,嵩昫贡尚脸矧蹋漆跃众
加上了方的 反而成了圆的,员,茓甘供百贱秦脵答坯员
第二次借钱,欢,惚冯小行腔摄麋蹲溜欢
加上了嘴巴 反而说不出,亚,化杉沽递礴祚崽肿骒亚
不计前嫌广结交,廉,说汇水昕哧鳃察万楫廉
恰似无风下半旗,卜,卅谛氙荷原英缄四豆卜
全力以赴方成功,工,姓玲贫鸨肝太李该公工
塔前破寺有风声,封,柴胞龆坊人桩啃蓟侮封
三十而立 大有奔头,卉,内炸泾谧肮奉霸掷熟卉
有女结婚,昏,崽俘翻臀他粉辰灿颇昏
田里有人,困,案茓杈袄挽赦抄奻来困
不负一生心,志,抛缺亚眭悸小仙盯庙志
二人正好远行,征,眸忖伪闽梏祚储衡税征
压变形了,庄,襄菠鸥邮少鼹閤屑坟庄
孔子出游载月归,甩,皿租型亩嚣霸摹璧树甩
此人来头可不小,大,脑痢猴缈弱玩偕剥乡大
