干字当头,半,轧弃乃商半
丰收在望,稿,眯肢路见稿
老头子,孝,煽掌堵职孝
份量不足,欣,狗惨妃古欣
火烧耳旁,耿,皓恕簸症耿
横山白茫茫,雪,引丹阵君雪
集合号,韶,恒屯第胃韶
作揖,拿,满窖北伊拿
大框加小框,固,芷泳裘甮固
错把火锅摆上桌,离,吕除瘸献离
哥哥老是站着,竞,誊粉敦汀竞
一斤高高的,丘,犟妒关司丘
星星之歌,农,筚石阵嗟农
一边一点,卜,痢什札轰卜
星出太阳落,生,锯休炙露生
一朝一夕,暮,于绌扈化暮
挖西边补东边,扑,吴仿宅胥扑
不是病 也是病,痱,骇绝稀捐痱
革命方略,令,目市蛙忐令
大干大变,全,咫恬奄実全
春游一日,夫,撵伍釜做夫
妇女地位起变化,妻,侃罗耻塾妻
风丝雨点满地扬,飞,瑭注岁尚飞
来到村中树苍挺,又,腊灵眵孴又
东施,妞,俯秉皆擂妞
第一页,顽,辐灭润断顽
一时缺十分,旦,荫漫啭巧旦
拆西墙补东墙,扑,睬悬愿悼扑
朝天子,现,挼艾最炜现
拆了围墙,韦,六妈目娶韦
东南西北共一心,愣,童抱丁承愣
户口,启,俭沌矧短启
寒山雁阵斜,侍,弱览叹荔侍
二大二小,秦,漉恢听藻秦
分别正是十二月,青,勿仆般秉青
除夕来日蛤逢春,麦,咏路阆媳麦
出力乐悠悠,嘉,乡戒只塌嘉
一心放牛,性,抒侍铝估性
尽是缺点,尺,肼罐硼瘦尺
点点在心田,斗,涌笈鸢邦斗
画中清流悬钓钩,沌,誉匾羁隆沌
湖边新月照台前,泓,衡蛔柚轧泓
二姑娘,姿,否沪沗鸠姿
多写一笔才象样,栏,菇烂鲡聶栏
点心,口,驱档侩青口
一露头就长角,午,牛能纲昊午
一撇划了三寸长,寿,乙的酉侬寿
冬眠,螅,这恳轶春螅
斧头,父,梳卸卡英父
一行雁阵放眼低 两株桃杏映篱斜,樊,桑悼霸输樊
长江上游水位下降,汞,娥恚蘑榻汞
鼓掌,拿,偕赔赻妙拿
断壁残垣,圭,消滚译室圭
东一个西一个,篱,俎职惹息篱
大小二分开,奈,蟆泡鲸琶奈
一张弓,弹,乙敫查丸弹
不翼而飞,丁,鸪杳切案丁
放眼唯有一孤帆,舰,吧轮献翥舰
各不相让,筝,固皋妮吩筝
哥哥一半大 莫作可字猜,奇,繁叔菠蛸奇
猜着一半,睛,团橙豪映睛
一手撑破天,扶,蓟歼调句扶
单身汉,合,蛔旱铢乌合
一日入林,楂,噬协辩妻楂
地头蛇,壕,虮吩裘架壕
一日,旦,饮铸惑匝旦
春节三日干在前头,金,骗柴脏荫金
废渣利用,泼,透行嘲葆泼
多一点就好,艮,咄高排啤艮
一生执教,帅,衍裙姨辛帅
繁花似锦,艳,课郑杠恍艳
共同复习,翕,扣闯滕诬翕
何需杀人灭口,丁,悼塾愈销丁
孩子丢了,亥,匀佚札口亥
一减一不是零,三,参卷疑奁三
高空山山无云层,窟,昕叙南打窟
浮桥水逝新月沉,学,终刽皖捅学
一诗前改始放心,恃,扑喑嗦琉恃
走了一口还有一人 走了一人还有一口,囚,闰唁唬巧囚
好话,诘,地被坔挖诘
扉,顽,娴葬薇巫顽
二十七人,花,疼逡改最花
一曲高歌夕阳下,曹,茁哑昂熔曹
从群众中来,佯,酥滉氮靖佯
涧水流终日,门,犹努樱筵门
一去就当元帅,师,本啻彬秕师
诞辰,星,补闻米梗星
打破固有框框,十,兵税化担十
春雨下田间,汁,朽陌飘凝汁
一口咬破衣,衰,虱禾剥廖衰
简直不像样,栏,请孽遍酱栏
夫人不在儿做伴,元,缕之氧皋元
挂刀看斗牛 始才放下心,懈,虹盛诳宏懈
狗洞,突,真茗消簧突
各立门户,阁,酊随萦妥阁
二人顶三人,奏,婀珊孤砌奏
兄弟姐妹,捉,寓啪忙鹅捉
和局,抨,务踯屉平抨
海峡两边喜相逢,汕,夺粗買感汕
四去八进一,曰,确蕾喋咔曰
傻子,保,丘函聂翌保
就是我,体,理记恃卿体
夜里十一点前后,孩,朕利狎谧孩
给一半 留一半,细,埋墟棕洵细
波涛滚滚,皮,扏逢烟估皮
眼花缭乱,瞇,沊币机判瞇
大错特错,爽,艺甄己担爽
一钩残月伴叁星,心,蹋莱区煲心
大小一一俱全,尖,馍昔诎贱尖
退潮,法,勉御冞熔法
楚霸王乌江自刎,翠,烟促部顽翠
老朋友,做,妃柬俑完做
湖心岛上,舌,标淳脂炭舌
点睛能飞,鸟,鬼昨冠敌鸟
二山在一道 猜出便错了,击,鸠柱胡笠击
江东二乔,娱,厂胰脏渭娱
四边残缺,匹,拍檀弋胄匹
闺女出门尚稚年,娃,摹凬瑰茵娃
黑狗不叫,默,洹始绮菁默
裹脚,跑,茧阴盟把跑
流眼泪对流眼泪,器,向攸捐痕器
举手就打 合眼入梦,垂,沂帛组殊垂
既能说又能看,冒,庇萦资膝冒
不干了,摆,剑孽红滴摆
加字加两点 别字办字猜,为,棵杰辍瓣为
一尺一,寺,酊品抨栋寺
黑色土地,畜,汗赭猴馨畜
丢掉一撇,去,古诃城板去
大河没水小河干,哥,麋汗其橱哥
高头吃一叉 下头挨一耙,斋,望滞倪收斋
一来就是十天,句,亏贯芙凡句
三口重叠 莫把品字猜,目,关殙蒡欣目
一对明月 完整无缺 落在山下 四分五裂,崩,淀独楷绪崩
海枯,每,亘啐棕用每
一半白天一半晚上,明,憋醉筞忏明
残兵,乒,黠峡俗员乒
我在山东,峨,厉够私濡峨
一对红,赫,汾策潮淑赫
湖中浮萍,苦,妩溜烋町苦
独生子,兀,旨鸠荕汆兀
连中三元,车,章沉鑫漾车
一来就是二,业,膨询九董业
甲乙丙丁都不对,罪,彰郑讽裕罪
断断续续,继,菖爧肘都继
不咸不淡,哈,位丈辩毋哈
一借再借,欢,秀牙脚畲欢
闻不用耳,门,额的涸泳门
昨天 今天 明天,晶,脵述兼古晶
会说话的眼睛,冒,骞离灸牵冒
四个大山山对山 四个大川川对川 四个口字连环套 四个嘴巴紧相连,田,怵觉企醄田
有没有上边　,月,布置笙氶月
左看三十一 右看一十三 左右一起看 三百二十三,非,炕襄郴中非
我有一条狗 只管跟人走 若要见到它 除非六月有,伏,洹斐耶芦伏
虽有十张口 只有一颗心 要想猜出来 必须动脑筋,思,敝夾鳍瘦思
说话的技术,团,白善疝筞团
头上病情重 身上三个洞 如不及时治 丢命葬山中,癌,掮郑堆蓬癌
摘掉穷帽子 挖去穷根子,八,彩舌污陛八
倒看八十九 正看九十八,杂,恢滇龟杷杂
口中有口难开口 话没出口家中去,回,锈眵逛娄回
写下面,与,敫同像芷与
一见是鸡,西,备纹培耽西
远看一头牛 近看没有头,午,觅樵糔眚午
一点水,求,绚键嫂衙求
是船不叫船 只因缺半边,舟,摈笃弦坡舟
一家加两点,戽,缈置鼩术戽
沉默不语,哈,膝测凳洽哈
甜一半 辣一半,辞,偎急股技辞
八九不离十,杂,唔俎谓勉杂
两人同去一人归,丙,痱筵期乍丙
变化,仑,跳鞭章麋仑
一旦有心 便能持久,恒,肿生侦副恒
一共添两横,其,渺醒瓣昌其
一出头就长角,午,锗丈塑跛午
骇人听闻,诡,墅许邑屉诡
一只狗 真少有 头上长了两个口,哭,奉來擒双哭
二人下南昌,昊,旭茀末所昊
长明灯,灸,场凸甭峰灸
两个动物并排站 一个游泳 一个吃草,鲜,帕岳昕黠鲜
存其心得其志,士,墙柔戈揪士
闺中少女,娃,痢视攀梗娃
左邻有衣无食 右舍有食无衣 两家团结互助 马上足食丰衣,裕,杵粒暑江裕
查看结果 杳无踪迹,一,芫玷醒宿一
鸡在水边,酒,又奔舛笳酒
一只小虫生得轻 嘴巴长在天灵盖,虽,废辍密曳虽
出东海 入西山 写时方 画时圆　,日,印跺王混日
不关春夏秋,图,腥葩苟玻图
近朱者赤,赫,箩趿译渊赫
瓜熟蒂落,爪,但泛急浦爪
古钱,错,弦手乡百错
上面一加一 下面整二十,弄,忮通道引弄
炉火纯青,烂,冷咨艽浑烂
哥哥不肯坐 工作争着做,竞,只狠询优竞
六十天,朋,批址宵珀朋
看起来圆又圆 写出来是九点,丸,渣佩糊路丸
一点一横长 一撇向西方 并排两棵树 栽在石头上,磨,右尚她首磨
洞中有洞 孔中有孔,回,士辱间怜回
米饭太硬,沙,窥夥办源沙
一头牛站在独木桥上,生,猪岩南戥生
第四联,顶,怵堵雨蓝顶
口木不是呆 不作杏字猜 你若猜困字 还没猜出来,束,苬迕茎鲂束
我没有你有 天没有地有,他,友挛恕赏他
外面会说话 里面飘雪花 里外合起来,图,勽标羯准图
喝水就泻,写,源呀洲珍写
一月大,肤,穹嵘韩蛔肤
半粗半细,组,属符中腾组
国外进口,国,役替夷化国
一点一点大 人人都有它,头,马鱽损智头
伯父隔壁没人住,白,仕振供寓白
左边九加九 右边九十九 左右合起来 四季长青树,柏,啦渡皫瘤柏
一人一张嘴,合,荣鞋耍谷合
小树一寸长,村,恭佟黯肩村
一字有千口 人人都得有 如果你不信 请你张开口,舌,靳橹俊新舌
四个晚上,罗,岳伴宫仙罗
有手有脚 无法逃脱,捉,芨翡请兆捉
太阳照北京,景,绑招宴民景
二画大 二画小,秦,由杷径霉秦
和尚拜佛,拿,贾枝掌鸬拿
全家添一口,启,滞皮御甍启
万语千言令人厌,够,罂钦旧禺够
唐老鸭退役,鸟,艰荨擦酵鸟
没有学头,子,绷蚪哀贫子
月上有云,育,离驭箕缄育
左边有水右边有刀中间藏着一个宝,测,主畲驳玛测
有土能种庄稼 有人不是你我 有水能养鱼,也,沂很芨护也
只走一半,足,婪湿犇染足
第二次握手,掰,或骥晒擞掰
林务大臣,棺,江杈媳扈棺
左边大 右边小 右边跳 左边跑 右边喝血 左边吃草,骚,朩蓉继股骚
一字生的真奇怪 太阳偏往土里埋 土堆之上长青草 一刀斜着劈下来,著,氧詊崔柯著
丰收,移,全皎洵栩移
自言自语,记,卧搏余琉记
有人入伍,五,嗔坚邓此五
空中飞人,会,实柘即膀会
软一半 硬一半,砍,跨巾蜀聶砍
长篇大论,够,诸侈如罢够
进水行不成,衍,煲患慑吩衍
内里有人,肉,巧煲梳脵肉
有丝颜色鲜艳 有手能抬起来 有水翻动波浪 有力能显成绩,工,垚鹊监呓工
下午一点,汁,魁怎祈袈汁
看家狗,戾,鼓厚珀茄戾
正月没有初一,肯,呖矿立体肯
鸡到村里 鸟飞走了,树,公憔问孕树
掌门人,们,良再贯腐们
千古恨,跌,黯泡注责跌
一半真 一半假,值,匡虎惠铢值
水上码头,泵,像丁找闩泵
女同学,姓,萍恫霉甾姓
元首挂帅,师,伟章钙材师
半露笑脸,签,劾曹讳砖签
话说马年,许,珍霉摸孟许
左看马靠它 右看它靠马 两边一起看 脚踩万里沙,驼,朋税斛槎驼
一飞就是一天,亘,峡酒田货亘
输掉一辆车,俞,人犇旦架俞
排在最前 站在最左边,拉,沐崇邾拌拉
有心记不住 有眼看不见,亡,熔阜淼忽亡
晴一半 阴一半,明,川溆笈亮明
两人土上谈心,坐,喳漩洹粘坐
左点点右点点专用弓,弱,攸闭渭岌弱
油醋混合半清醒,酒,炙诏矽羽酒
听得其声是马鸣,嘶,唱侣笛毛嘶
左边一个太阳 右边一个太阳 站在太阳上 反而不见光,暗,恭灸喳票暗
有火才能煮熟饭 有水才能把田灌 蚕儿吐丝一圈圈 日头出来亮了天,尧,京蜗世驸尧
一马当先一往无前,驻,扛韵鸨溜驻
一半满 一空,江,仿维钬佗江
由上转下,甲,杢岌琨菌甲
万绿从中一点红,株,沈淄甜亢株
判决无罪,皓,摄瞒侣雇皓
一大一小 猜尖错了,奈,粱敌蚀株奈
与我同行,衙,冥竞丽惺衙
一字有四笔 没横也没竖 妈妈猜不着 爸爸笑嘻嘻,父,洱共昶粘父
学生学字,救,橇宰瑗尚救
苗头不对,艾,霸办芆茹艾
死对头,生,探部婆鸪生
上面小山 下面才是山,岳,禽辜望姚岳
弄瓦之喜,姓,珅浦否詈姓
雨天没有阴天有 田里没有湖里有 河水没有潮水有,月,操儿罩惩月
无头无尾一亩田,鱼,任啪缕肰鱼
舌头没有了,古,林是宿征古
开一半票 提一半货,贾,丰等再朵贾
明月升空海水退,晦,勇充酗马晦
独生女,婵,更锉咫咄婵
一边大一边小 一边会跑一会边跳 会跳的吃人 会跑的吃草,骚,娜酿鸠阐骚
上下一体,卡,摸祥嫉施卡
言行一致,运,桥泞漕咔运
山上还有山 小二藏下面,祟,卡郁解椒祟
大王头上有一人,全,虔螽擦赦全
一个人靠在木头上休息,休,堵礼俄愈休
果断有力,男,急容肺昙男
两点水,冰,充辐什修冰
枫林风光,森,沊皖喜跟森
旁边又来一匹马,驭,找淞馨畄驭
头戴一顶帽 忠诚又可靠,实,趇恳瞒忆实
旱一半涝一半,汗,芸蓝掷蕾汗
哑巴有 聋子无 跛子有 麻子无 和尚有 道士无,口,朱键辛免口
男儿国,妩,既镝使炳妩
和尚的手势,掌,谣厘善鲨掌
一家四口来合作 贡献大一点,器,输兖真煜器
硕果累累,夥,朕绢严并夥
拱手让人,共,鸨适销伍共
青一块 紫一块,素,磐暴断苑素
挥手告别,军,杂连獐曳军
老大老二和老三 兄弟三个叠罗汉老大踩着老二头 老三站在最下边,奈,击赻歌屠奈
你有我没有 花有草没有,人,湄憩鉴堆人
左边缺一半 右边空一半,缸,怂町朔反缸
何可废也 以羊易之,佯,酬趿辆肘佯
点滴积累方有为,力,尺萌嚻智力
措手不及,昔,汞冼夙豺昔
看着像牛却是马,午,铧坤祟才午
不是门 也是门,扉,夕神良辜扉
舌尖上的西湖,沙,乌妙澳皱沙
走是不对的,赵,晒筋杉魁赵
四山纵横 两日绸缪 富是他起脚 累是他起头,田,谷榔何不田
上边能飞 下边能站 今天猜不出 明天出答案,翌,荏伍纵暇翌
千张嘴 千张嘴 要想活 给它水,舌,眵吃岩岚舌
正看八十八 倒看八十八 左看八十八 右看八十八 仔细一端详 好像一朵花,米,丸钬堆愚米
名利始终抛一边,和,彗姚楷即和
两边都能听到,耶,至廊给期耶
矮冬瓜,射,全算桐垃射
池塘亮底,汗,敬迪扫岗汗
没有钱,钦,挞臾远否钦
国庆的早晨,坦,妪翕荤倩坦
观不见有鸟飞来,鸡,哇媳厘陛鸡
沾土结垢,后,次闯恣熹后
三十减一,川,跃这晃梀川
飞沙走石,砂,障甄短更砂
红了还要红,赫,豪酤冣圄赫
一字四笔斜 无横 无竖 无一湾沟,父,杳可宴灯父
一到就享受,亨,弗酥障倩亨
一个人 在山边,仙,更实豺肚仙
干燥剂,法,闽辨直衰法
四四方方一间房 里面住着冬姑娘,图,卵茶震琬图
加水可以栽花 加土可以种瓜 加人不是你我 加马能跑天下,也,梧牧锯妯也
夕阳下山了,岁,骟悉疤衔岁
三三两两,十,夙考停蚪十
儿童不宜,旖,郴铎谟良旖
上捂下日 下捂上日 左捂右日 右捂左日 不捂不日 一捂就日,田,仓炙悠誊田
一个太阳 二个太阳,晶,液七深摆晶
说他大 上边小 说他小 下边大,尖,忖荏冬说尖
第二次见面,观,娲抹赦详观
江西省,工,蚊饨武株工
剩三点,涂,锉莽漓嘿涂
只有点点大 第一总是它,头,逻茫捶策头
阎罗王,瑰,棠媚姝琚瑰
是由没有头 是甲没有脚 播种下田了 长出绿禾苗,田,株行熊砷田
讲师钟点费,读,煲螳萍补读
正面差一横 下面少去一点,步,品菌趿罕步
有马能行千里,也,爻窯钿跎也
猜酒拳,批,荆辆糔督批
风吹树枝摇 折断小树枝,枫,于楞驳阎枫
太阳中间插根棍 底部却被月亮啃,胄,氏黍驮夾胄
四面城墙空一面 调皮小孩躲中间,匹,签蜻蛸陸匹
像三不是三 竖弯钩右弯动物有了它 温暖过冬天,毛,闺姹赈伙毛
重心靠边戴草帽,懂,惊妇深毳懂
一边白 一边黄 一边柔 一边刚 一边暖 一边凉,锦,恍呸免座锦
哥有弟没有 高有矮没有 河有山没有 吃有穿没有,口,宰弗软韧口
有水哗啦啦 有口笑哈哈 有土不平整 有人不知啥,可,辐卆骥汕可
十月又见面,肢,万市篱弃肢
一行作吏,史,句茹昧远史
王大妈白大妈 一起坐在石头上,碧,掠钼猛杢碧
遇水即成河 有伴就称哥 头顶大得奇 傍人又如何,可,拽汨材饲可
讲鬼,魂,悠幸呆坎魂
天上倒八字,关,直卷汲瞬关
眼前一片绿葱葱,睛,扑萃映旮睛
一去就竞争,竟,鳞椒迕蛞竟
半边有毛半边光 半边味美半边香半边吃的山上草 半边还在水里藏,鲜,荧铢脀劾鲜
洒水了,西,姥汨了洞西
前前后后一条心,总,扭静矗响总
兔子差点不见了,免,笳营跟皆免
三人看日出,春,泛猛碟巡春
春雨如油,溃,赫硂糔脌溃
自大加一点,臭,僮粮缌责臭
一条白毛巾挂在木头上,棉,沐兀守疚棉
一来就不坏,坯,眛窜咆储坯
人人人人人,伍,吞巢衿胆伍
家中一口人,儫,璧禁羁表儫
五张嘴巴在说话,语,析测摊腥语
加一笔不好 加一点不少,夕,长刽来爪夕
一加一不是二,王,浕丞箔瞩王
万物之灵,他,总醄晿销他
有草能开花 有水能沏茶 有脚走得快 有火响声大,包,壤绢氦叫包
前没有后有 左没有右有 暗没有亮有 低没有高有,口,机钩阁逡口
东边游鹅西边叫 ,哦,疴支茄熄哦
有心撇下老李,悸,剂砷璐嫂悸
服装展览,裂,隐宁妻捐裂
四个嘴大一点,器,携裂妈莽器
快先吹口哨,悄,垃奏金官悄
二人并立不是天 你当夫猜也枉然,仁,落水乙暝仁
横看有十口 竖看有十口 不单是十口 而是十二口,咕,渭合躲炳咕
西挪东借,措,澡谈坑刀措
一生当园丁,帅,衍嫌楣户帅
心字上面减两点,感,鹃重噪陸感
有女全姓姚 有手肩能挑 有足蹦蹦跳 有木花夭夭,兆,觅套実辩兆
傻瓜,保,稽刮利鳅保
努力不够需用心,怒,浍宏足粇怒
平均地权,杜,务移佯啮杜
云破月来,育,柱滩毓江育
自己说话,语,纪鳍幸擦语
结实累累,夥,恼曱充艰夥
拆除磁石,兹,域园邑悟兹
困难之中,休,沉滑硖苏休
口中一木栽 非困又非呆 若要把杏念 趁早你莫猜,束,勤姑靖伸束
开渠放水,柜,抒摊嘿杞柜
开门日正中,间,办涟陈疼间
左右都是水,冰,姗答芕衡冰
日落西山,晒,木弼右胕晒
惟有这点点滴滴,憔,衲话者恰憔
喝一半 流一半,渴,面喋篓直渴
见日天空亮 遇水河见底 知心是朋友 两人友谊长,青,拌揪掩燊青
池里没有水 地上不见土,也,嗅塌揩麋也
星星出来太阳落下,甡,万细凸粪甡
十字街头,千,勇夵摩褒千
李世民,瑭,卑腊溧囼瑭
小二小二戴草帽,蒜,咒侩梗甡蒜
难以接受又换友,爱,妞琉忌拜爱
左十八来右十一 十八十一在一起 左边给你柴火烧 右边给你粮食吃,杜,蝈马糊俏杜
十二月一日,晴,侣炽掷肺晴
一年少三十天,肚,詊督閒橙肚
朋友半边不见啦,友,览浕谭乳友
我头可断身可裂,找,番殊鸟绮找
李时珍名著,笨,帝璟示鑫笨
一一入史册,更,间娴函卒更
一定要干在前,王,肺魔诲酆王
林海无边,梅,淅七莓奋梅
汛期,泼,缈爸条恪泼
头上草帽戴 帽下有人在短刀握在手 但却人人爱,花,廊靠关奏花
连夜造林,梦,漉婶臀胎梦
再次相见,观,孜诏堡腮观
竹下无女妖,笑,荫珐澍闱笑
禾高没了人,千,渔棣选盛千
共填二横,其,把槊跻矮其
香初茶半又黄昏,移,厂钬绮脀移
挖掉穷根巧安排,窍,喷悼渗拙窍
俺们两人不在,阉,浑场汊芷阉
功名终被草没了,茄,芮榴虮跃茄
朋友别后在相逢,有,仅式河刈有
你一半 我一半 同心干 把树砍,伐,璧衡啃姣伐
一口吃下十角,园,蜻争泓啦园
地球自转一周,旧,鼩嚣蝉河旧
夕阳,晒,符吝糗歆晒
半边大 半边小 半边跑 半边跳半边奔驰疆场上 半边偷偷把人咬,骚,沧碍芭岿骚
加倍才算多,夕,较简夭粮夕
减二剩下四 减四剩下二,园,绅潇芩哦园
一只小兔兔 瞪着俩眼睛 雌性有了它 能把后代生,卵,凉胀拙忍卵
进门就闹,市,兰哑厢商市
横算直算 二四得八,買,藩盲像犁買
早日回归,十,秽辖酱踢十
金玉满堂,钰,旮钓匹檄钰
两根树干六个枝 中间有路无人走,非,皿琳教亵非
走在上面 坐在下面 挂在右边 堆在左边,土,烫窍卦罐土
甲字出头不是申字,岬,俎奎能扛岬
心满意足,音,甡囼显椰音
四个二字转又转 四个日字肩并肩 四个口字膀挨膀 四个山字尖对尖,田,哺左飘整田
雨天没有阴天有 田里没有湖里有 今天没有明天有,月,隐宝瓜鹊月
有皿能把物存 有口笑出声音 有手把物取走 有鸟象征和平,合,葫遭滥泣合
画兔点睛,卵,义械饲晖卵
先免一半再赔一半,竞,赶苯霁诗竞
把矛放树上,柔,咐令瑛燥柔
一来就工作,十,括荑东赦十
言来互相尊重 心至令人感动 日出万里无云 水到纯净透明,青,鸽萃苆马青
古代有 现代无 商周有 秦汉无 唐朝有 宋朝无,口,他编檗缶口
鱼头蛇尾巴 成天地上爬,龟,耋疟稔玓龟
两人坐天上,丛,汴衰诏绥丛
女儿出了嫁,家,娇魔豉肥家
低头不见抬头见,抵,敦耿荐替抵
一日进一尺,昼,算脑晷遍昼
节约一粒米,立,输需度悯立
看起来父亲多 其实就一个,爹,姜乙蔑崩爹
十字尾巴弯弯 算算数目少三,七,伐淄接够七
三天,晶,筝镇菲灸晶
海味山珍,鲜,襄栈文奥鲜
一尺多一点点 不作尽字猜,村,苞源狼锄村
二山在一起 猜出便错了,击,末夫套闩击
砍左边嗑右边,磕,血镍都赫磕
里外都是未知数,风,唤巧筋煜风
勿挂心上,忽,烬定浕罪忽
就在其中,二,捱角仨矗二
大旱,沙,倦孩侨侦沙
一对夫妇生一个,众,琉皈轧铸众
十分之四,克,桧炕苣苫克
安字去了盖莫当女字猜,好,仂翠俎洁好
去一人还有一口 去一口还有一人,合,袭梢笔撵合
倒下一人,到,卆朝丝嫔到
蓄水池,也,寿俅洋获也
亮出首尾,亢,继陈包异亢
一到开封,葑,畦腥浦僵葑
滴水成海,每,昧盟鸟帐每
人才进了门,闪,棣珂棹孝闪
太阳过生日,星,村顶澎萝星
两人同在土山上 一个左来一个右,坐,具荐鼯丕坐
浅水之内 藏有宝贝,溅,迆减审孽溅
课桌椅样样齐备,木,汉崇骤来木
一个人 两只脚 在弯曲的道路上行走,佛,岿锄断殃佛
救人不要半文钱,俅,粥比立漳俅
有耳能听到 有口能请教 有心就犯病 有人雷声响,门,墨怪案荔门
一半是学者,孝,恤彼偓钟孝
洗掉一点,冼,具殓唤慝冼
有户人家没有墙 英雄豪杰内中藏 有人看他像关公 有人说是楚霸王,扇,岛岐卫宏扇
可到阵前,阿,肘录怂抗阿
成心不来,戊,忡崛蕊鱽戊
二月不猜朋,用,默翩恙移用
妻子,肉,已佳活芸肉
先借后输,偷,铂晖士益偷
此字不难猜 而且分不开,面,医土伸吩面
一生无邪,止,妞众朋阀止
生个女的就好,子,保夸汜贺子
木头搬进门,闲,淮夙净胥闲
霎时雨过,妾,闰悄联門妾
来人就吃,良,盯腾宴牮良
跑断了脚,包,瑗汴骗菟包
倒数第一,由,阀吱虽旱由
有女就好 有口就闹 有手照写 有水干燥,少,逑合宴白少
补衣去了,卜,础情富岁卜
左边一条狗 右边一条狗 藏在草下不露头,获,娔熟农胇获
少见为妙,女,苯嫂裙淀女
暗无天日,立,粪缈袱朴立
一横又一竖 别把十字猜 你若能猜中 一定是知音,支,罩恐蓉项支
三横又三竖 你若猜不中 猴子告诉你,申,商滦菁溅申
上面能走 下面能坐,土,鼩梗仔血土
外面四角 里面十角,园,淮坎弥规园
不要夸大,亏,沏蓝氧讲亏
人生七十,华,毯买褒益华
见水就滑,骨,黠乘入素骨
赔了血本,夸,源消充粕夸
汽车进了站 乘客人不见,乖,劣俟国驼乖
雨下山倒,雪,诛舍县胐雪
一马饮尽池中水,驰,罐鸟野类驰
一着西装人更俊,酸,端属熊颔酸
横竖一定吃大亏,垮,倚溽卦辕垮
左边光 右边亮 一边热一边凉 两者同时不露面 合并起来亮堂堂,明,捅溺继瑰明
入关之后 称帝为王,月,洋骊驯墨月
洋婆子,要,轻休蔑肉要
手足交朋友,捉,炕阴枣许捉
两个半对 凑成一双,双,文钰软诃双
差一点六斤,兵,丑衡琬良兵
上白下紫,系,灿芢走缁系
少白头,日,禾菌膜例日
不是女同学,甥,荑缈鸪捍甥
合口味,昧,专累膂滩昧
上下一致要对口,咔,疑骨茁蝈咔
去之岐山之下居焉,吱,症愣末汾吱
灭掉一虫,烛,舱皎薯暴烛
四个十字手拉手 里面有水不会流,井,煽造碍恪井
有草花将开 有水可冲茶有脚走得快 有火敌人怕,包,忮蠱殚庙包
除去一半添一半,涂,螶柯题邀涂
前程几许,秃,靥合煲眚秃
阿里山的姑娘,始,糟板桂促始
左手拿丸子,执,不滑隙槑执
一张口 十颗心,思,含催車太思
弯弯一小船儿 文人上边玩,这,扩夥霁觑这
色彩丰富,艳,钗锯溪阂艳
半盒点心,哈,泄珠篱六哈
日进五百米,量,与区和句量
海边看见一艘船,舰,煽桐屯谅舰
逮住又放走,隶,螺妈虱殡隶
赠我一只鹅,鸟,革鹇北椰鸟
秦王一刀斩三人,利,恻郎寨练利
白头歃血献丹心,盘,德巧凶兽盘
有水能淘沙 有犬羊害怕 有米做食品 有女叫妈妈,良,螃溏影厉良
人人开口,肉,舒迕界谣肉
断雨残云,三,输砂疚余三
顶破天,夫,奢炸衮鸡夫
鸵鸟不见了,它,记反简宁它
一只手在树上,采,猴入骸己采
周末喜相逢,啁,滩统浑占啁
有眼看得准 有口咬得紧 有金钻劲大 有火放光明,丁,椎歪帜俯丁
报恩有口却无心,咽,怪挟厝习咽
残花一片 犹有余香,旨,超墓佰祚旨
早日腾飞,十,强隧搜庄十
一点下令,今,操荕悟绺今
一点补充,允,招驾糖傅允
寸草心,时,吩摸度旦时
明月当空恰十分,时,裙篱汗感时
脱贫之后有余粮,粉,材扯竡珐粉
两山之间月初来,川,爧団琬车川
错 大错 错上加错,爽,优塍螅阐爽
用一半还有一半,胖,床狩乘不胖
不见宝玉进园中,完,殉绩诩扎完
枝头眉月仍半边,秀,温葛筝椒秀
巾帼,好,迆诲将毒好
龙袍,袭,佣丸奋锺袭
设酒杀鸡备鱼来,渔,璐邀禀捞渔
安排女排打头阵,宁,维滇昊咔宁
连日相约在亭下,町,鲩忝亟眸町
大小相等,奈,汜荑扒咕奈
引狼入室不见狗,阆,逍障妆侃阆
邹容一心求变革,隐,瓣瓢胃笑隐
先生一夜未归,殊,擦褒锯盒殊
自大一点不可爱,臭,麻涢趾附臭
小耳朵 总听课 你就聪明了,聪,赭玲哭姘聪
武,斐,只笆驰妖斐
张口就大声喊叫,孔,耶馨荷莠孔
江河流水归一处,珂,惺只尊固珂
闺中少女欲思春,娴,吕潸妥丸娴
森林被毁和泪看,湘,泽偶菊疼湘
粗一半细一半,组,起引良郊组
湖中垂钓到白头,乱,麓簧割颜乱
今与君重逢,琴,樊怀洪因琴
下岗转向再上岗,岖,善痘掇圪岖
绝色少女觅不见,绥,慎娄闭纺绥
趁人走没又写一页,须,叩逾王衍须
车七退一,轧,导肕兵愣轧
千万少一点,仿,担箕馨拜仿
言而无信 一文不值,仪,贫世赶泫仪
一直有点见外,夕,荘么做蕴夕
必须再产,颜,肿茴媳甍颜
一个字 山连山 猜不到 去外边,出,玺讨筒员出
不在上边 不上不下 应在下边 正在两头 长在中间,一,糜脅锣铝一
一草一木 日见其大,模,猪馨静爹模
人要正直 还要真心,仨,鲡琥窥莱仨
自始至终要虚心,老,柄姨牟只老
一人一心一张口,恰,杳枚聋管恰
